Country,LE_index,smoking,narco,Obesity,GDP,Happiness,ge,meat,corr,ed,aversal,inflation,co2,alcohol
Madagascar,63.83,25.1,0.39,3.8,1883.0,4.23,0.734,9.9,25.0,0.828,0.154,7.2,0.1,2.6
Malawi,67.56,8.6,0.57,6.4,1859.0,3.42,0.7152340425531916,33.6,34.0,0.409,0.138,24.9,0.27,3.5
Malaysia,76.82,0.2,1.09,22.4,38729.0,5.98,0.681,119.3,52.0,0.493,0.962,1.6,8.0,3.0
Maldives,81.29,24.9,0.46,17.7,26543.0,5.503093525179857,0.626,101.2,39.0,0.715,0.209,0.4,4.16,2.3
Mali,60.67,7.3,1.3,10.0,3309.0,4.23,0.617,17.2,28.0,0.599,0.141,0.4,0.29,0.8
Malta,83.47,23.9,1.36,34.6,67364.0,6.35,0.727,102.0,49.0,0.248,1.323,2.3,3.25,3.6
Marshall Islands,67.08,30.4,1.737102272727273,47.3,8198.0,5.503093525179857,0.7152340425531916,67.46573033707865,42.083333333333336,0.848,0.8,5.616666666666667,4.7582065217391305,5.4271276595744675
Mauritania,68.71,8.4,2.66,20.8,7271.0,4.51,0.677,39.5,30.0,0.882,0.148,4.4,0.95,0.4
Mauritius,75.1,20.5,1.16,19.5,31051.0,5.82,0.7152340425531916,74.6,48.0,0.385,0.593,3.9,3.36,5.4
Mexico,75.26,14.1,1.18,36.1,25688.0,6.68,0.776,84.7,27.0,0.739,0.755,3.79,3.79,2.3
Micronesia,67.36,17.67142857142857,0.73,45.6,4346.0,5.503093525179857,0.7152340425531916,106.9,42.083333333333336,0.709,0.615,5.616666666666667,4.7582065217391305,5.3
Moldova,71.33,30.5,1.13,25.5,18716.0,5.82,0.813,50.3,42.0,0.593,0.615,4.8,2.85,6.0
Monaco,86.5,17.67142857142857,1.737102272727273,23.48276595744681,31433.770408163266,5.503093525179857,0.7152340425531916,67.46573033707865,42.083333333333336,0.6708172043010753,0.492,5.616666666666667,4.7582065217391305,5.4271276595744675
Mongolia,71.99,29.2,1.15,24.0,19098.0,5.7,0.728,112.2,31.0,0.807,0.438,7.5,6.53,7.8
Montenegro,77.25,31.5,1.78,21.1,33380.0,5.71,0.705,93.0,46.0,0.716,1.036,2.9,4.7582065217391305,6.0
Morocco,75.49,12.2,0.94,22.1,10305.0,4.8,0.628,57.0,39.0,0.839,1.764,-0.8,1.95,0.4
Mozambique,63.8,17.67142857142857,0.92,8.8,1700.0,5.22,0.738,21.0,21.0,0.609,0.174,3.04,0.31,3.2
Myanmar,67.1,42.3,0.84,7.5,5998.0,4.35,0.7152340425531916,106.0,16.0,0.427,0.397,5.616666666666667,0.7,1.9
Namibia,67.52,13.2,1.74,15.3,11686.0,4.83,0.811,44.3,46.0,0.553,0.165,2.9,1.48,6.3
Nauru,62.28,46.7,1.737102272727273,70.2,14327.0,5.503093525179857,0.7152340425531916,156.2,42.083333333333336,0.568,0.512,5.616666666666667,4.7582065217391305,5.3
Nepal,70.64,25.7,0.42,6.6,5737.0,5.16,0.648,17.7,34.0,0.657,0.18,2.42,0.53,1.8
Netherlands,82.3,19.9,1.03,16.9,84218.0,7.32,0.756,81.0,78.0,0.5,4.688,2.4,7.52,1.5
New Caledonia,78.92,17.67142857142857,1.737102272727273,23.48276595744681,31433.770408163266,5.503093525179857,0.7152340425531916,101.7,42.083333333333336,0.6708172043010753,1.2026,0.4,18.67,5.4271276595744675
New Zealand,82.24,10.9,1.38,34.2,55094.0,7.03,0.827,111.5,81.0,0.92,2.967,3.1,6.31,4.0
Nicaragua,75.1,17.67142857142857,0.86,32.4,8709.0,6.28,0.783,36.3,14.0,0.93,0.37,3.03,0.85,6.6
Niger,61.43,7.5,1.13,5.3,2015.0,4.56,0.613,10.1,31.0,0.593,0.154,-9.4,0.1,0.7
Nigeria,54.63,2.8,5.81,10.8,6440.0,4.88,0.649,13.8,26.0,0.243,0.273,15.1,0.55,0.6
North Korea,73.74,15.4,1.24,1.9,31433.770408163266,5.503093525179857,0.7152340425531916,24.6,15.0,0.6708172043010753,0.144,5.616666666666667,2.07,3.5
North Macedonia,77.54,17.67142857142857,0.39,30.6,26587.0,5.37,0.699,46.5,40.0,0.545,0.765,5.616666666666667,4.53,6.0
Norway,83.46,12.2,4.45,19.8,101032.0,7.3,0.863,117.5,81.0,0.701,5.772,3.6,7.75,7.2
Oman,80.25,8.6,0.54,30.2,41664.0,5.503093525179857,0.637,69.5,52.0,0.937,1.733,1.4,19.38,0.4
Pakistan,67.8,17.2,0.54,21.8,6287.0,4.66,0.567,20.2,28.0,0.758,0.177,7.0,0.82,0.4
Palau,69.38,16.6,1.737102272727273,42.2,17532.0,4.88,0.7152340425531916,67.46573033707865,42.083333333333336,0.366,0.203,5.616666666666667,76.41,5.3
Palestine,69.21,17.67142857142857,1.737102272727273,23.48276595744681,31433.770408163266,5.503093525179857,0.7152340425531916,67.46573033707865,42.083333333333336,0.6708172043010753,0.104,-14.4,4.7582065217391305,5.4271276595744675
Panama,79.77,4.5,0.75,36.1,41405.0,6.36,0.741,100.5,33.0,0.697,0.824,0.2,2.59,6.8
Papua New Guinea,66.26,38.1,0.2,20.1,4889.0,5.503093525179857,0.638,77.0,26.0,0.723,0.181,4.7,0.46,5.3
Paraguay,73.98,9.4,0.57,32.1,18524.0,5.98,0.703,44.9,24.0,0.472,0.439,2.3,1.47,7.0
Peru,77.94,5.8,1.92,27.2,17802.0,5.84,0.735,80.4,30.0,0.683,0.49,2.21,1.84,8.9
Philippines,69.95,19.1,0.73,8.7,11794.0,6.05,0.781,62.9,32.0,0.744,0.393,2.4,1.36,5.3
Poland,78.81,22.1,0.69,31.4,50378.0,6.44,0.75,102.0,52.0,0.656,1.523,2.2,8.39,12.8
Portugal,82.55,25.8,0.64,27.1,50617.0,6.03,0.767,150.3,56.0,0.882,1.888,2.1,3.96,6.8
Puerto Rico,81.9,17.67142857142857,1.737102272727273,23.48276595744681,50155.0,5.503093525179857,0.7152340425531916,67.46573033707865,42.083333333333336,0.6708172043010753,1.2026,2.0,3.89,5.4271276595744675
Qatar,82.55,12.5,0.8,43.8,126110.0,5.503093525179857,0.7152340425531916,97.1,58.0,0.787,3.275,2.28,35.48,0.3
Republic of the Congo,66.0,16.3,1.737102272727273,8.0,7026.0,5.22,0.7152340425531916,64.5,42.083333333333336,0.706,1.2026,-0.9,4.7582065217391305,2.1
Romania,76.09,29.3,1.21,38.2,48712.0,6.49,0.697,74.6,45.0,0.621,1.413,9.6,4.03,2.8
Russia,73.34,28.9,5.4,28.0,47405.0,5.79,0.7152340425531916,98.7,22.0,0.783,2.266,6.0,13.11,20.9
Rwanda,68.02,13.5,0.56,4.6,3711.0,5.503093525179857,0.762,13.0,58.0,0.849,0.185,7.5,0.12,7.0
Saint Kitts and Nevis,72.28,17.67142857142857,1.737102272727273,46.6,35545.0,5.503093525179857,0.7152340425531916,108.4,42.083333333333336,0.48,1.711,5.616666666666667,4.7582065217391305,6.6
Saint Lucia,72.85,13.3,0.92,33.9,27567.0,5.503093525179857,0.7152340425531916,111.9,59.0,0.86,1.811,5.616666666666667,1.43,6.5
Saint Vincent and the Grenadines,71.38,17.67142857142857,1.04,33.6,21272.0,5.503093525179857,0.7152340425531916,113.9,63.0,0.639,1.954,5.616666666666667,4.7582065217391305,6.9
Samoa,71.83,20.8,0.42,61.2,7837.0,5.503093525179857,0.7152340425531916,136.0,42.083333333333336,0.819,1.509,5.616666666666667,1.65,5.4
San Marino,85.82,17.67142857142857,1.737102272727273,23.48276595744681,75942.0,5.503093525179857,0.7152340425531916,67.46573033707865,42.083333333333336,0.724,3.344,5.616666666666667,4.7582065217391305,5.4271276595744675
Sao Tome and Principe,69.9,8.1,1.3,15.0,6230.0,5.503093525179857,0.7152340425531916,51.3,45.0,0.694,0.982,10.3,4.7582065217391305,6.4
Saudi Arabia,78.98,0.2,2.02,41.4,71243.0,6.59,0.643,66.8,57.0,0.549,1.995,1.8,18.89,0.3
Senegal,68.92,5.8,1.58,8.7,5110.0,4.97,0.67,29.2,46.0,0.799,0.156,0.4,0.68,0.7
Serbia,76.94,0.4,0.66,26.01,31867.0,6.41,0.774,68.3,33.0,0.349,1.032,2.4,4.7582065217391305,5.9
Seychelles,72.99,19.7,0.78,30.3,33239.0,5.503093525179857,0.7152340425531916,119.3,68.0,0.786,0.215,0.1,8.72,7.3
Sierra Leone,61.96,0.1,3.17,6.5,3516.0,3.25,0.677,35.1,34.0,0.759,0.172,6.38,0.13,3.5
Singapore,83.86,16.2,0.26,13.5,150689.0,6.52,0.7152340425531916,67.46573033707865,42.083333333333336,0.367,4.457,1.4,9.46,1.1
Sint Maarten,76.53,17.67142857142857,1.737102272727273,23.48276595744681,52085.0,5.503093525179857,0.7152340425531916,67.46573033707865,42.083333333333336,0.6708172043010753,1.2026,5.616666666666667,4.7582065217391305,5.4271276595744675
Slovakia,78.49,32.8,0.68,30.3,47181.0,6.26,0.723,72.6,48.0,0.866,1.619,4.0,6.44,12.2
Slovenia,81.78,19.5,1.11,22.2,56531.0,6.74,0.77,85.8,58.0,0.842,2.718,2.9,6.59,13.9
Solomon Islands,70.69,36.1,0.18,21.6,2872.0,5.503093525179857,0.7152340425531916,40.5,44.0,0.913,0.612,3.4,0.41,5.3
Somalia,58.97,17.67142857142857,0.62,12.7,1601.0,5.503093525179857,0.7152340425531916,67.46573033707865,42.083333333333336,0.483,0.175,5.1,0.05,0.4
South Africa,66.31,20.5,1.52,30.0,15458.0,5.42,0.767,66.3,41.0,0.274,1.469,3.5,6.49,7.0
South Korea,84.43,18.5,0.2,6.7,31433.770408163266,6.06,0.687,133.9,63.0,0.6708172043010753,2.287,2.0,12.27,13.9
South Sudan,57.74,17.67142857142857,0.59,8.0,1155.0,5.503093525179857,0.7152340425531916,23.9,9.0,0.878,0.178,113.0,4.7582065217391305,5.4271276595744675
Spain,83.8,27.8,1.1,19.2,56926.0,6.42,0.797,142.7,55.0,0.346,2.658,2.3,5.32,1.5
Sri Lanka,77.67,18.5,1.16,10.6,15633.0,3.9,0.645,40.8,35.0,0.848,0.175,1.6,0.81,3.1
Sudan,66.52,17.67142857142857,3.34,15.5,2127.0,5.503093525179857,0.57,21.5,14.0,0.751,0.183,5.616666666666667,0.5,1.3
Suriname,73.76,17.67142857142857,1.3,29.0,22067.0,5.503093525179857,0.738,78.8,38.0,0.366,0.38,11.0,5.28,6.9
Sweden,83.42,20.5,4.1,16.4,71030.0,7.34,0.817,100.2,80.0,0.586,4.084,0.5,3.61,11.0
Switzerland,84.09,25.3,1.84,13.7,93818.0,7.06,0.785,82.2,80.0,0.923,8.218,0.1,4.11,9.5
Syria,72.56,17.67142857142857,1.89,31.2,4650.0,5.503093525179857,0.7152340425531916,18.1,15.0,0.924,0.191,11.35,1.26,0.6
Tajikistan,71.93,17.67142857142857,0.36,20.8,5406.0,5.28,0.646,37.9,19.0,0.396,0.276,3.6,1.04,0.9
Tanzania,67.21,8.1,1.48,11.4,4221.0,3.78,0.736,17.6,40.0,0.679,0.182,3.3,0.26,6.8
Thailand,76.56,18.3,1.11,14.5,24708.0,5.98,0.728,54.9,33.0,0.426,0.615,-0.88,3.94,5.4
Timor-Leste,67.9,17.67142857142857,1.737102272727273,23.48276595744681,4758.0,5.503093525179857,0.704,29.3,44.0,0.727,0.282,5.616666666666667,0.42,1.8
Togo,62.93,5.7,3.02,10.4,3239.0,4.21,0.657,24.2,32.0,0.567,0.172,5.616666666666667,0.27,9.5
Tonga,73.07,31.1,0.51,70.5,7853.0,5.503093525179857,0.7152340425531916,67.46573033707865,42.083333333333336,0.548,0.179,5.616666666666667,1.59,5.2
Trinidad and Tobago,73.62,17.67142857142857,1.16,29.2,36021.0,5.503093525179857,0.772,99.5,41.0,0.816,0.925,0.7,19.53,6.7
Tunisia,76.71,19.5,1.88,28.03,14451.0,4.42,0.654,41.5,39.0,0.782,0.384,5.0,2.96,0.6
Turkey,77.42,30.2,1.13,34.3,43932.0,4.98,0.633,42.8,31.0,0.672,0.421,31.53,5.53,4.8
Turkmenistan,70.2,4.9,0.84,20.2,20408.0,5.503093525179857,0.7152340425531916,52.3,17.0,0.793,0.761,5.5,9.67,5.9
Turks and Caicos Islands,78.18,17.67142857142857,1.737102272727273,23.48276595744681,37954.0,5.503093525179857,0.7152340425531916,67.46573033707865,42.083333333333336,0.6708172043010753,1.2026,5.616666666666667,4.7582065217391305,5.4271276595744675
Tuvalu,67.26,32.2,1.737102272727273,63.9,6151.0,5.503093525179857,0.7152340425531916,67.46573033707865,42.083333333333336,0.737,0.524,5.616666666666667,4.7582065217391305,5.3
Uganda,68.49,6.4,1.09,6.9,3276.0,4.37,0.707,23.3,25.0,0.689,0.181,2.9,0.16,7.1
Ukraine,74.69,23.6,2.2,29.2,18550.0,4.87,0.724,63.3,42.083333333333336,0.526,0.537,7.4,3.23,6.0
United Arab Emirates,83.07,8.2,4.99,31.5,77959.0,6.73,0.7152340425531916,67.46573033707865,42.083333333333336,0.739,3.77,2.17,21.36,0.7
United Kingdom,81.45,12.5,4.16,28.07,60620.0,6.75,0.838,97.0,70.0,0.904,4.286,3.0,5.0,8.7
United States,79.46,23.6,21.28,42.9,85810.0,6.73,0.7152340425531916,67.46573033707865,42.083333333333336,0.936,6.562,2.4,14.21,13.9
United States Virgin Islands,75.7,17.67142857142857,1.737102272727273,23.48276595744681,49793.0,5.503093525179857,0.7152340425531916,67.46573033707865,42.083333333333336,0.6708172043010753,1.2026,5.616666666666667,4.7582065217391305,5.4271276595744675
Uruguay,78.29,19.1,0.76,34.7,36418.0,6.61,0.7152340425531916,67.46573033707865,42.083333333333336,0.909,1.229,3.11,2.52,6.4
Uzbekistan,72.53,15.8,0.91,28.05,11879.0,6.2,0.678,45.0,31.0,0.787,0.458,7.2,3.79,6.0
Vanuatu,71.65,17.67142857142857,0.24,28.05,3602.0,5.503093525179857,0.679,63.5,47.0,0.73,1.348,2.3,0.7,5.2
Venezuela,72.67,17.67142857142857,0.81,19.9,17349.0,5.61,0.7152340425531916,43.0,10.0,0.568,0.306,172.0,3.44,6.9
Vietnam,74.74,21.7,1.31,22.8,16385.0,6.04,0.713,100.2,41.0,0.695,0.555,3.35,3.29,5.4
Yemen,69.44,20.6,2.68,2.1,3164.0,3.56,0.7152340425531916,21.7,13.0,0.647,0.482,5.616666666666667,0.32,0.4
Zambia,66.53,14.1,1.19,11.6,4224.0,3.5,0.707,29.2,37.0,0.313,0.182,7.5,0.46,5.5
Zimbabwe,63.06,10.4,2.31,9.4,3922.0,3.34,0.747,54.9,22.0,0.549,0.169,3.8,0.64,6.4
